state,park,recreation_visitors,recreation_visitors_percent_change,recreation_visitor_days,recreation_visitor_days_percent_change,non_recreation_visitors,non_recreation_visitors_percent_change,recreation_visitor_hours,recreation_visitor_hours_percent_change,non_recreation_visitor_hours,non_recreation_visitor_hours_percent_change,concessioner_lodging_overnights,concessioner_lodging_overnights_percent_change,concessioner_camping_overnights,concessioner_camping_overnights_percent_change,tent_overnights,tent_overnights_percent_change,recreation_vehicle_overnights,recreation_vehicle_overnights_percent_change,back_country_overnights,back_country_overnights_percent_change,non_recreation_overnights,non_recreation_overnights_percent_change,misc_overnights,misc_overnights_percent_change,total_recreation_visitors,total_recreation_visitors_percent_change,total_recreation_visitor_days,total_recreation_visitor_days_percent_change,total_non_recreation_visitors,total_non_recreation_visitors_percent_change,total_recreation_visitor_hours,total_recreation_visitor_hours_percent_change,total_non_recreation_visitor_hours,total_non_recreation_visitor_hours_percent_change,total_concessioner_lodging_overnights,total_concessioner_lodging_overnights_percent_change,total_concessioner_camping_overnights,total_concessioner_camping_overnights_percent_change,total_tent_overnights,total_tent_overnights_percent_change,total_recreation_vehicle_overnights,total_recreation_vehicle_overnights_percent_change,total_back_country_overnights,total_back_country_overnights_percent_change,total_non_recreation_overnights,total_non_recreation_overnights_percent_change,total_misc_overnights,total_misc_overnights_percent_change,grand_total_recreation_visitors,grand_total_recreation_visitors_percent_change,grand_total_recreation_visitor_days,grand_total_recreation_visitor_days_percent_change,grand_total_non_recreation_visitors,grand_total_non_recreation_visitors_percent_change,grand_total_recreation_visitor_hours,grand_total_recreation_visitor_hours_percent_change,grand_total_non_recreation_visitor_hours,grand_total_non_recreation_visitor_hours_percent_change,grand_total_concessioner_lodging_overnights,grand_total_concessioner_lodging_overnights_percent_change,grand_total_concessioner_camping_overnights,grand_total_concessioner_camping_overnights_percent_change,grand_total_tent_overnights,grand_total_tent_overnights_percent_change,grand_total_recreation_vehicle_overnights,grand_total_recreation_vehicle_overnights_percent_change,grand_total_back_country_overnights,grand_total_back_country_overnights_percent_change,grand_total_non_recreation_overnights,grand_total_non_recreation_overnights_percent_change,grand_total_misc_overnights,grand_total_misc_overnights_percent_change
Florida,Castillo de San Marcos NM,"579,825",-10.34%,"36,239",-10.34%,0,,"434,870",-10.34%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Florida,"13,503,256",1.46%,"2,849,591",-3.62%,"20,046",,"34,195,155",-3.62%,"53,688",,0,,"29,377",,"56,451",-4.42%,"150,108",11.58%,"22,741",11.80%,"1,710",0.02%,"15,594",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Florida,De Soto NMEM,"155,016",-33.15%,"21,314",-33.15%,0,,"255,777",-33.15%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Florida,"13,503,256",1.46%,"2,849,591",-3.62%,"20,046",,"34,195,155",-3.62%,"53,688",,0,,"29,377",,"56,451",-4.42%,"150,108",11.58%,"22,741",11.80%,"1,710",0.02%,"15,594",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Florida,Dry Tortugas NP,"84,873",0.70%,"51,658",-1.42%,"1,710",6.34%,"619,897",-1.42%,"20,520",6.34%,0,,0,,"5,536",-12.41%,0,,0,,"1,710",-7.08%,"6,993",6.34%,Subtotal Florida,"13,503,256",1.46%,"2,849,591",-3.62%,"20,046",,"34,195,155",-3.62%,"53,688",,0,,"29,377",,"56,451",-4.42%,"150,108",11.58%,"22,741",11.80%,"1,710",0.02%,"15,594",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Florida,Everglades NP,"741,983",-8.42%,"335,918",-18.92%,"6,000",0.00%,"4,031,017",-18.92%,"27,000",0.00%,0,,"29,377",-57.40%,0,,0,,"16,367",57.21%,0,228.97%,954,,Subtotal Florida,"13,503,256",1.46%,"2,849,591",-3.62%,"20,046",,"34,195,155",-3.62%,"53,688",,0,,"29,377",,"56,451",-4.42%,"150,108",11.58%,"22,741",11.80%,"1,710",0.02%,"15,594",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Florida,Fort Caroline NMEM,"260,350",-19.65%,"21,695",-19.65%,0,,"260,350",-19.65%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Florida,"13,503,256",1.46%,"2,849,591",-3.62%,"20,046",,"34,195,155",-3.62%,"53,688",,0,,"29,377",,"56,451",-4.42%,"150,108",11.58%,"22,741",11.80%,"1,710",0.02%,"15,594",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Florida,Fort Matanzas NM,"680,040",-4.43%,"57,495",-4.00%,0,,"689,947",-4.00%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Florida,"13,503,256",1.46%,"2,849,591",-3.62%,"20,046",,"34,195,155",-3.62%,"53,688",,0,,"29,377",,"56,451",-4.42%,"150,108",11.58%,"22,741",11.80%,"1,710",0.02%,"15,594",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Florida,Gulf Islands NS,"5,391,021",5.62%,"1,213,876",1.93%,"12,336",0.00%,"14,566,518",1.93%,"6,168",0.00%,0,,0,,"49,023",22.20%,"125,090",12.46%,0,,0,51.31%,"6,001",,Subtotal Florida,"13,503,256",1.46%,"2,849,591",-3.62%,"20,046",,"34,195,155",-3.62%,"53,688",,0,,"29,377",,"56,451",-4.42%,"150,108",11.58%,"22,741",11.80%,"1,710",0.02%,"15,594",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Florida,Timucuan EHP,"997,136",3.93%,"192,766",-10.16%,0,,"2,313,203",-10.16%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Florida,"13,503,256",1.46%,"2,849,591",-3.62%,"20,046",,"34,195,155",-3.62%,"53,688",,0,,"29,377",,"56,451",-4.42%,"150,108",11.58%,"22,741",11.80%,"1,710",0.02%,"15,594",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Georgia,Andersonville NHS,"72,925",-6.19%,"12,154",-6.19%,0,,"145,852",-6.19%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Georgia,"7,010,225",3.37%,"1,607,677",-1.63%,"37,208,006",,"19,292,181",-1.63%,"5,935,984",,0,,0,,"16,559",,0,,"2,520",,0,,"2,468",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Georgia,Chattahoochee River NRA,"2,940,804",-7.61%,"980,267",-7.61%,0,,"11,763,215",-7.61%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Georgia,"7,010,225",3.37%,"1,607,677",-1.63%,"37,208,006",,"19,292,181",-1.63%,"5,935,984",,0,,0,,"16,559",,0,,"2,520",,0,,"2,468",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
