state,park,recreation_visitors,recreation_visitors_percent_change,recreation_visitor_days,recreation_visitor_days_percent_change,non_recreation_visitors,non_recreation_visitors_percent_change,recreation_visitor_hours,recreation_visitor_hours_percent_change,non_recreation_visitor_hours,non_recreation_visitor_hours_percent_change,concessioner_lodging_overnights,concessioner_lodging_overnights_percent_change,concessioner_camping_overnights,concessioner_camping_overnights_percent_change,tent_overnights,tent_overnights_percent_change,recreation_vehicle_overnights,recreation_vehicle_overnights_percent_change,back_country_overnights,back_country_overnights_percent_change,non_recreation_overnights,non_recreation_overnights_percent_change,misc_overnights,misc_overnights_percent_change,total_recreation_visitors,total_recreation_visitors_percent_change,total_recreation_visitor_days,total_recreation_visitor_days_percent_change,total_non_recreation_visitors,total_non_recreation_visitors_percent_change,total_recreation_visitor_hours,total_recreation_visitor_hours_percent_change,total_non_recreation_visitor_hours,total_non_recreation_visitor_hours_percent_change,total_concessioner_lodging_overnights,total_concessioner_lodging_overnights_percent_change,total_concessioner_camping_overnights,total_concessioner_camping_overnights_percent_change,total_tent_overnights,total_tent_overnights_percent_change,total_recreation_vehicle_overnights,total_recreation_vehicle_overnights_percent_change,total_back_country_overnights,total_back_country_overnights_percent_change,total_non_recreation_overnights,total_non_recreation_overnights_percent_change,total_misc_overnights,total_misc_overnights_percent_change,grand_total_recreation_visitors,grand_total_recreation_visitors_percent_change,grand_total_recreation_visitor_days,grand_total_recreation_visitor_days_percent_change,grand_total_non_recreation_visitors,grand_total_non_recreation_visitors_percent_change,grand_total_recreation_visitor_hours,grand_total_recreation_visitor_hours_percent_change,grand_total_non_recreation_visitor_hours,grand_total_non_recreation_visitor_hours_percent_change,grand_total_concessioner_lodging_overnights,grand_total_concessioner_lodging_overnights_percent_change,grand_total_concessioner_camping_overnights,grand_total_concessioner_camping_overnights_percent_change,grand_total_tent_overnights,grand_total_tent_overnights_percent_change,grand_total_recreation_vehicle_overnights,grand_total_recreation_vehicle_overnights_percent_change,grand_total_back_country_overnights,grand_total_back_country_overnights_percent_change,grand_total_non_recreation_overnights,grand_total_non_recreation_overnights_percent_change,grand_total_misc_overnights,grand_total_misc_overnights_percent_change
Minnesota,Grand Portage NM,"88,931",0.72%,"15,787",1.56%,0,,"189,451",1.56%,0,,0,,0,,0,,0,,62,21.57%,0,,0,,Subtotal Minnesota,"1,077,540",-1.16%,"500,828",5.20%,0,,"6,009,968",5.20%,0,,"4,216",,0,,0,,0,,"106,782",2.89%,0,,"14,246",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Minnesota,Mississippi NRRA,"256,133",-13.09%,"34,643",-8.42%,0,,"415,719",-8.42%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Minnesota,"1,077,540",-1.16%,"500,828",5.20%,0,,"6,009,968",5.20%,0,,"4,216",,0,,0,,0,,"106,782",2.89%,0,,"14,246",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Minnesota,Pipestone NM,"83,033",-0.19%,"17,298",-0.18%,0,,"207,581",-0.19%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Minnesota,"1,077,540",-1.16%,"500,828",5.20%,0,,"6,009,968",5.20%,0,,"4,216",,0,,0,,0,,"106,782",2.89%,0,,"14,246",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Minnesota,Saint Croix NSR,"450,413",11.73%,"341,675",4.60%,0,,"4,100,110",4.60%,0,,0,,0,,0,,0,,"48,331",2.04%,0,,0,,Subtotal Minnesota,"1,077,540",-1.16%,"500,828",5.20%,0,,"6,009,968",5.20%,0,,"4,216",,0,,0,,0,,"106,782",2.89%,0,,"14,246",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Minnesota,Voyageurs NP,"199,030",-9.87%,"91,425",16.13%,0,,"1,097,107",16.13%,0,,"4,216",7.80%,0,,0,,0,,"58,389",3.59%,0,-18.47%,"14,246",,Subtotal Minnesota,"1,077,540",-1.16%,"500,828",5.20%,0,,"6,009,968",5.20%,0,,"4,216",,0,,0,,0,,"106,782",2.89%,0,,"14,246",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Mississippi,Emmett Till and Mamie Till-Mobley NM,"1,759",,240,,"4,560",,"2,884",,"7,080",,0,,0,,0,,0,,0,,0,,0,,Subtotal Mississippi,"8,800,187",-2.92%,"2,902,775",-0.04%,"7,726,116",,"34,833,330",,"7,556,378",,0,,0,,"6,346",,"40,112",,0,,0,,4,,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Mississippi,Gulf Islands NS,"2,410,155",-24.06%,"837,977",-15.95%,"205,070",-24.26%,"10,055,729",-15.95%,"32,812",-24.26%,0,,0,,"2,935",-31.86%,"34,412",11.50%,0,-100.00%,0,-100.00%,0,,Subtotal Mississippi,"8,800,187",-2.92%,"2,902,775",-0.04%,"7,726,116",,"34,833,330",,"7,556,378",,0,,0,,"6,346",,"40,112",,0,,0,,4,,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Mississippi,Medgar and Myrlie Evers Home NM,"71,554",20.17%,"3,093",-25.79%,0,,"37,127",-25.78%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Mississippi,"8,800,187",-2.92%,"2,902,775",-0.04%,"7,726,116",,"34,833,330",,"7,556,378",,0,,0,,"6,346",,"40,112",,0,,0,,4,,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Mississippi,Natchez NHP,"21,520",-64.82%,"5,860",-59.27%,0,,"70,321",-59.28%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Mississippi,"8,800,187",-2.92%,"2,902,775",-0.04%,"7,726,116",,"34,833,330",,"7,556,378",,0,,0,,"6,346",,"40,112",,0,,0,,4,,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Mississippi,Natchez Trace PKWY,"5,891,867",8.55%,"1,980,858",8.52%,"7,516,486",0.00%,"23,770,299",8.52%,"7,516,486",0.00%,0,,0,,"3,411",0.18%,"5,700",0.21%,0,,0,,4,,Subtotal Mississippi,"8,800,187",-2.92%,"2,902,775",-0.04%,"7,726,116",,"34,833,330",,"7,556,378",,0,,0,,"6,346",,"40,112",,0,,0,,4,,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Mississippi,Vicksburg NMP,"403,332",17.59%,"74,747",18.24%,0,,"896,970",18.24%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Mississippi,"8,800,187",-2.92%,"2,902,775",-0.04%,"7,726,116",,"34,833,330",,"7,556,378",,0,,0,,"6,346",,"40,112",,0,,0,,4,,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Missouri,Gateway Arch NP,"2,563,052",5.79%,"469,892",5.79%,0,,"5,638,714",5.79%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Missouri,"4,396,444",5.42%,"842,628",2.93%,180,,"10,111,580",2.93%,"1,260",,0,,0,,"49,488",,"30,900",,"13,736",,0,,"24,560",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Missouri,George Washington Carver NM,"39,081",4.83%,"4,233",4.83%,0,,"50,807",4.83%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Missouri,"4,396,444",5.42%,"842,628",2.93%,180,,"10,111,580",2.93%,"1,260",,0,,0,,"49,488",,"30,900",,"13,736",,0,,"24,560",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Missouri,Harry S Truman NHS,"24,102",-8.45%,"1,358",-9.59%,0,,"16,303",-9.56%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Missouri,"4,396,444",5.42%,"842,628",2.93%,180,,"10,111,580",2.93%,"1,260",,0,,0,,"49,488",,"30,900",,"13,736",,0,,"24,560",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Missouri,Ozark NSR,"1,343,779",0.72%,"301,088",-3.50%,0,,"3,613,064",-3.50%,0,,0,,0,,"49,488",-17.94%,"30,900",-2.40%,"13,736",-27.48%,0,28.73%,"24,560",,Subtotal Missouri,"4,396,444",5.42%,"842,628",2.93%,180,,"10,111,580",2.93%,"1,260",,0,,0,,"49,488",,"30,900",,"13,736",,0,,"24,560",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Missouri,Ste. Genevieve NHP,"23,893",,832,,180,,"9,984",,"1,260",,0,,0,,0,,0,,0,,0,,0,,Subtotal Missouri,"4,396,444",5.42%,"842,628",2.93%,180,,"10,111,580",2.93%,"1,260",,0,,0,,"49,488",,"30,900",,"13,736",,0,,"24,560",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Missouri,Ulysses S. Grant NHS,"44,732",35.29%,"5,591",35.28%,0,,"67,096",35.28%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Missouri,"4,396,444",5.42%,"842,628",2.93%,180,,"10,111,580",2.93%,"1,260",,0,,0,,"49,488",,"30,900",,"13,736",,0,,"24,560",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Missouri,Wilson's Creek NB,"357,805",12.95%,"59,634",12.95%,0,,"715,612",12.95%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Missouri,"4,396,444",5.42%,"842,628",2.93%,180,,"10,111,580",2.93%,"1,260",,0,,0,,"49,488",,"30,900",,"13,736",,0,,"24,560",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Montana,Big Hole NB,"45,211",-18.10%,"5,243",-17.29%,0,,"62,924",-17.28%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Montana,"5,931,593",4.86%,"5,410,273",6.02%,"31,549",,"64,923,308",6.02%,"120,895",,"118,588",,0,,"126,200",,"129,858",,"40,678",,0,,"13,183",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Montana,Bighorn Canyon NRA,"118,701",0.96%,"41,452",5.50%,"4,695",0.00%,"497,424",5.50%,"2,345",0.00%,0,,0,,0,,0,,260,,0,,"1,874",,Subtotal Montana,"5,931,593",4.86%,"5,410,273",6.02%,"31,549",,"64,923,308",6.02%,"120,895",,"118,588",,0,,"126,200",,"129,858",,"40,678",,0,,"13,183",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Montana,Glacier NP,"3,208,755",9.38%,"2,920,641",7.05%,"3,058",15.66%,"35,047,693",7.05%,"26,772",17.03%,"118,588",3.37%,0,,"126,200",-4.55%,"129,858",-1.87%,"34,828",8.59%,0,3.95%,"11,309",,Subtotal Montana,"5,931,593",4.86%,"5,410,273",6.02%,"31,549",,"64,923,308",6.02%,"120,895",,"118,588",,0,,"126,200",,"129,858",,"40,678",,0,,"13,183",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Montana,Grant-Kohrs Ranch NHS,"27,479",0.96%,"2,816",0.93%,0,,"33,800",0.95%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Montana,"5,931,593",4.86%,"5,410,273",6.02%,"31,549",,"64,923,308",6.02%,"120,895",,"118,588",,0,,"126,200",,"129,858",,"40,678",,0,,"13,183",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Montana,Little Bighorn Battlefield NM,"111,825",-50.80%,"9,318",-50.81%,976,-53.41%,"111,826",-50.81%,490,-53.29%,0,,0,,0,,0,,0,,0,,0,,Subtotal Montana,"5,931,593",4.86%,"5,410,273",6.02%,"31,549",,"64,923,308",6.02%,"120,895",,"118,588",,0,,"126,200",,"129,858",,"40,678",,0,,"13,183",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Montana,Yellowstone NP,"2,419,622",5.40%,"2,430,803",5.36%,"22,820",-13.89%,"29,169,641",5.36%,"91,288",-13.89%,0,,0,,0,,0,,"5,590",-2.60%,0,,0,,Subtotal Montana,"5,931,593",4.86%,"5,410,273",6.02%,"31,549",,"64,923,308",6.02%,"120,895",,"118,588",,0,,"126,200",,"129,858",,"40,678",,0,,"13,183",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Nebraska,Agate Fossil Beds NM,"19,395",24.63%,"4,158",26.46%,0,,"49,907",26.48%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Nebraska,"330,027",4.81%,"88,185",2.16%,"309,319",,"1,058,249",2.16%,"49,492",,0,,0,,0,,0,,0,,0,,0,,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Nebraska,Homestead NHP,"52,330",4.98%,"7,131",5.35%,"309,319",-10.33%,"85,573",5.35%,"49,492",-10.33%,0,,0,,0,,0,,0,,0,,0,,Subtotal Nebraska,"330,027",4.81%,"88,185",2.16%,"309,319",,"1,058,249",2.16%,"49,492",,0,,0,,0,,0,,0,,0,,0,,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Nebraska,Niobrara NSR,"74,387",-1.11%,"47,777",-1.84%,0,,"573,333",-1.84%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Nebraska,"330,027",4.81%,"88,185",2.16%,"309,319",,"1,058,249",2.16%,"49,492",,0,,0,,0,,0,,0,,0,,0,,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Nebraska,Scotts Bluff NM,"183,915",5.54%,"29,119",5.53%,0,,"349,436",5.54%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Nebraska,"330,027",4.81%,"88,185",2.16%,"309,319",,"1,058,249",2.16%,"49,492",,0,,0,,0,,0,,0,,0,,0,,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Nevada,Death Valley NP,64,48.84%,29,45.00%,0,,355,46.69%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Nevada,"5,022,203",10.32%,"3,038,985",8.08%,"166,412",,"36,467,841",8.08%,"979,212",,"3,000",,"104,795",,"66,334",,"77,234",,"16,333",,0,,"41,563",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Nevada,Great Basin NP,"152,068",6.14%,"118,456",-6.20%,"3,500",191.67%,"1,421,472",-6.20%,"1,750",191.67%,0,,0,,"21,685",-16.09%,"20,408",0.72%,460,1.55%,0,-32.94%,800,,Subtotal Nevada,"5,022,203",10.32%,"3,038,985",8.08%,"166,412",,"36,467,841",8.08%,"979,212",,"3,000",,"104,795",,"66,334",,"77,234",,"16,333",,0,,"41,563",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Nevada,Lake Mead NRA,"4,809,640",10.59%,"2,912,947",8.77%,"162,912",7.46%,"34,955,368",8.77%,"977,462",7.45%,"3,000",14.07%,"104,795",-3.39%,"44,649",1.03%,"56,826",1.03%,"15,873",8.53%,0,6.73%,"40,763",,Subtotal Nevada,"5,022,203",10.32%,"3,038,985",8.08%,"166,412",,"36,467,841",8.08%,"979,212",,"3,000",,"104,795",,"66,334",,"77,234",,"16,333",,0,,"41,563",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Nevada,Tule Springs Fossil Beds NM,"60,431",0.49%,"7,553",0.49%,0,,"90,646",0.49%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Nevada,"5,022,203",10.32%,"3,038,985",8.08%,"166,412",,"36,467,841",8.08%,"979,212",,"3,000",,"104,795",,"66,334",,"77,234",,"16,333",,0,,"41,563",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
New Hampshire,Saint-Gaudens NHP,"26,685",-12.61%,"4,170",-11.78%,0,,"50,046",-11.78%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal New Hampshire,"26,685",-12.61%,"4,170",-11.78%,0,,"50,046",-11.78%,0,,0,,0,,0,,0,,0,,0,,0,,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
New Jersey,Delaware Water Gap NRA,"2,896,630",-3.04%,"1,030,706",-1.88%,"38,340",0.00%,"12,368,472",-1.88%,"19,176",0.00%,0,,0,,0,,0,,"10,690",-8.94%,0,-37.61%,"9,122",,Subtotal New Jersey,"5,212,761",0.33%,"1,640,402",0.76%,"250,757",-2.86%,"19,684,849",0.76%,"429,327",0.21%,0,,0,,"2,891",,0,,"10,690",-8.94%,0,-37.37%,"9,295",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
New Jersey,Gateway NRA,"1,863,221",12.60%,"525,644",13.04%,"204,480",0.53%,"6,307,728",13.04%,"408,960",0.53%,0,,0,,"2,891",-47.14%,0,,0,,0,-21.00%,173,,Subtotal New Jersey,"5,212,761",0.33%,"1,640,402",0.76%,"250,757",-2.86%,"19,684,849",0.76%,"429,327",0.21%,0,,0,,"2,891",,0,,"10,690",-8.94%,0,-37.37%,"9,295",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
New Jersey,Morristown NHP,"208,138",-13.33%,"50,424",-8.78%,0,,"605,094",-8.78%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal New Jersey,"5,212,761",0.33%,"1,640,402",0.76%,"250,757",-2.86%,"19,684,849",0.76%,"429,327",0.21%,0,,0,,"2,891",,0,,"10,690",-8.94%,0,-37.37%,"9,295",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
New Jersey,Paterson Great Falls NHP,"210,741",-24.68%,"30,369",-43.77%,0,,"364,439",-43.77%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal New Jersey,"5,212,761",0.33%,"1,640,402",0.76%,"250,757",-2.86%,"19,684,849",0.76%,"429,327",0.21%,0,,0,,"2,891",,0,,"10,690",-8.94%,0,-37.37%,"9,295",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
New Jersey,Thomas Edison NHP,"34,031",1.64%,"3,259",1.46%,"7,937",-51.57%,"39,116",1.47%,"1,191",-51.57%,0,,0,,0,,0,,0,,0,,0,,Subtotal New Jersey,"5,212,761",0.33%,"1,640,402",0.76%,"250,757",-2.86%,"19,684,849",0.76%,"429,327",0.21%,0,,0,,"2,891",,0,,"10,690",-8.94%,0,-37.37%,"9,295",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
New Mexico,Aztec Ruins NM,"40,019",-15.85%,"5,002",-15.85%,159,-17.19%,"60,029",-15.84%,159,-17.19%,0,,0,,0,,0,,0,,0,,0,,Subtotal New Mexico,"2,375,358",4.85%,"594,412",7.84%,"26,036",-1.64%,"7,133,040",7.84%,"21,891",-8.21%,0,,0,,"18,032",,"20,194",,639,,0,,"8,760",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
New Mexico,Bandelier NM,"213,595",7.06%,"97,119",20.42%,840,0.00%,"1,165,431",20.42%,216,0.00%,0,,0,,"7,971",85.93%,"10,947",31.81%,463,-0.86%,0,12.17%,"6,920",,Subtotal New Mexico,"2,375,358",4.85%,"594,412",7.84%,"26,036",-1.64%,"7,133,040",7.84%,"21,891",-8.21%,0,,0,,"18,032",,"20,194",,639,,0,,"8,760",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
New Mexico,Capulin Volcano NM,"96,078",8.55%,"10,951",8.28%,654,-57.59%,"131,417",8.28%,654,-57.59%,0,,0,,0,,0,,0,,0,,0,,Subtotal New Mexico,"2,375,358",4.85%,"594,412",7.84%,"26,036",-1.64%,"7,133,040",7.84%,"21,891",-8.21%,0,,0,,"18,032",,"20,194",,639,,0,,"8,760",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
New Mexico,Carlsbad Caverns NP,"460,474",16.84%,"146,558",17.31%,0,,"1,758,697",17.31%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal New Mexico,"2,375,358",4.85%,"594,412",7.84%,"26,036",-1.64%,"7,133,040",7.84%,"21,891",-8.21%,0,,0,,"18,032",,"20,194",,639,,0,,"8,760",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
New Mexico,Chaco Culture NHP,"37,840",-5.87%,"51,883",-0.41%,"10,560",0.00%,"622,606",-0.41%,"10,560",0.00%,0,,0,,"9,146",-1.68%,"7,686",-1.23%,0,,0,55.22%,"1,234",,Subtotal New Mexico,"2,375,358",4.85%,"594,412",7.84%,"26,036",-1.64%,"7,133,040",7.84%,"21,891",-8.21%,0,,0,,"18,032",,"20,194",,639,,0,,"8,760",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
New Mexico,El Malpais NM,"163,679",-2.05%,"54,559",-2.05%,720,0.00%,"654,713",-2.05%,180,0.00%,0,,0,,0,,0,,0,,0,,0,,Subtotal New Mexico,"2,375,358",4.85%,"594,412",7.84%,"26,036",-1.64%,"7,133,040",7.84%,"21,891",-8.21%,0,,0,,"18,032",,"20,194",,639,,0,,"8,760",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
